Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,0.1,0.2422403223143715,0.9045490433034042
CACO,2,0.1,0.046639359112018414,0.8991742330620343
CACO,3,0.1,0.13360475445629102,0.899956750103218
CACO,4,0.1,0.11966725715055267,0.9007198736196426
CACO,5,0.1,0.17130103746823414,0.9030041037165704
CAO,1,0.1,0.1787786350858305,0.9037567126713786
CAO,2,0.1,0.16091624283064687,0.9015862734968324
CAO,3,0.1,0.18201454558330857,0.9028433477523021
CAO,4,0.1,0.21399476234027157,0.8999962381235106
CAO,5,0.1,0.19452844133714906,0.902471365928007
NACO,1,0.1,0.2128599067684841,0.9050327131377578
NACO,2,0.1,0.19200572290168505,0.9044635248689243
NACO,3,0.1,0.20337973474226526,0.903752506846732
NACO,4,Threshold0.1,0.17857150029219038,0.9044247378194061
NACO,5,Threshold0.1,0.21454897042915538,0.9041434148819366
ANCO,1,Threshold0.1,0.2832033360555112,0.9054551648578116
ANCO,2,Threshold0.1,0.2676309919342302,0.9053343642276855
ANCO,3,Threshold0.1,0.23116583790741094,0.9039744809253001
ANCO,4,Threshold0.1,0.2269484662740034,0.9050233668607655
ANCO,5,Threshold0.1,0.24543616523715,0.9042511307242734
CACO,1,Threshold0.2,0.41433802616609783,0.8306375165633553
CACO,2,Threshold0.2,0.2138095367667352,0.8109687439468253
CACO,3,Threshold0.2,0.3646803515950092,0.8209155192359232
CACO,4,Threshold0.2,0.28227667935550244,0.8146616916434236
CACO,5,Threshold0.2,0.3314355739166336,0.8217872932223836
CAO,1,Threshold0.2,0.33694822270623803,0.8236682314670921
CAO,2,Threshold0.2,0.37121143919023364,0.827011628404177
CAO,3,Threshold0.2,0.37225274494273,0.825559684273417
CAO,4,Threshold0.2,0.38701919064669577,0.8197965362230153
CAO,5,Threshold0.2,0.35005438748209605,0.8201780979812275
NACO,1,Threshold0.2,0.40479632352879985,0.8328911376031333
NACO,2,Threshold0.2,0.40516978520433133,0.8327149602818277
NACO,3,Threshold0.2,0.3923716159892608,0.8295101219011543
NACO,4,Threshold0.2,0.32561753566480195,0.8241778372200994
NACO,5,Threshold0.2,0.3954293600364731,0.8280366813333119
ANCO,1,Threshold0.2,0.45712610393806663,0.8347258117767296
ANCO,2,Threshold0.2,0.4519583050829113,0.8343636435432764
ANCO,3,Threshold0.2,0.41869050179639766,0.8294977380841394
CACO,1,Threshold0.30000000000000004,0.5092557917172965,0.76974652195826
CACO,2,Threshold0.30000000000000004,0.3827005754029835,0.7457955188807647
CACO,3,Threshold0.30000000000000004,0.49796878626504604,0.7629641624018436
CACO,4,Threshold0.30000000000000004,0.42380334320002455,0.7497027299774124
CACO,5,Threshold0.30000000000000004,0.44670159046189833,0.756370130326823
CAO,1,Threshold0.30000000000000004,0.4497163804582066,0.7582989682411171
CAO,2,Threshold0.30000000000000004,0.47930050632753335,0.7661505418854572
CAO,3,Threshold0.30000000000000004,0.49277658569561766,0.7643756838846117
CAO,4,Threshold0.30000000000000004,0.5035348512918777,0.760749094754659
CAO,5,Threshold0.30000000000000004,0.4613416676014247,0.7553934443811234
NACO,1,Threshold0.30000000000000004,0.5101567434348924,0.7742051633974558
NACO,2,Threshold0.30000000000000004,0.514615952549763,0.7755741593199088
NACO,3,Threshold0.30000000000000004,0.49018910279149797,0.7666185567058486
NACO,4,Threshold0.30000000000000004,0.4401191578874471,0.7582048045004193
NACO,5,Threshold0.30000000000000004,0.49321773733648533,0.7643263822734772
ANCO,1,Threshold0.30000000000000004,0.5385729102400767,0.7742163789298466
ANCO,2,Threshold0.30000000000000004,0.5371560503084343,0.7753505496428671
ANCO,3,Threshold0.30000000000000004,0.5222186654956995,0.7701734131598851
ANCO,4,Threshold0.30000000000000004,0.4536709390243645,0.7582992018980419
ANCO,5,Threshold0.30000000000000004,0.510758083885559,0.7659264648945658
CACO,1,Threshold0.4,0.5770205291192508,0.7184536865104483
CACO,2,Threshold0.4,0.48264458699118307,0.6889243580100748
CACO,3,Threshold0.4,0.5679621089963054,0.7123958970778631
CACO,4,Threshold0.4,0.5074253197571824,0.6941047656900041
CACO,5,Threshold0.4,0.530985830552054,0.7019883503330429
CAO,1,Threshold0.4,0.5312427100343253,0.7042043526079267
CAO,2,Threshold0.4,0.5583802768304332,0.7158928066145471
CAO,3,Threshold0.4,0.5701897942028302,0.7145859634340932
CAO,4,Threshold0.4,0.5738832018100546,0.7113248137345409
CAO,5,Threshold0.4,0.5357591896753603,0.6987316401150621
NACO,1,Threshold0.4,0.5769421487015348,0.7221076135006037
NACO,2,Threshold0.4,0.5772239830927804,0.7238953226323135
NACO,3,Threshold0.4,0.5624100415776024,0.7141473893862277
NACO,4,Threshold0.4,0.5165370179792965,0.7014303775966002
NACO,5,Threshold0.4,0.5642466826089985,0.7105607555904172
ANCO,1,Threshold0.4,0.6073787822075649,0.7279462327377184
ANCO,2,Threshold0.4,0.5986021186724224,0.725290488130345
ANCO,3,Threshold0.4,0.5826217970497931,0.717850150673668
ANCO,4,Threshold0.4,0.5294179743139127,0.704185660053942
ANCO,5,Threshold0.4,0.5706489670889764,0.7121573333576336
Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,Threshold0.5,0.6400417335261528,0.6815781842940956
CACO,2,Threshold0.5,0.5726727257037015,0.6505754152258797
CACO,3,Threshold0.5,0.6238589413680389,0.6724300483739931
CACO,4,Threshold0.5,0.5832642128155773,0.6540356406253688
CACO,5,Threshold0.5,0.599563274283908,0.6593130159290935
CAO,1,Threshold0.5,0.6052175097403371,0.6667884019244918
CAO,2,Threshold0.5,0.6307956764255902,0.6823763563492414
CAO,3,Threshold0.5,0.6329221407549388,0.6757552200709429
CAO,4,Threshold0.5,0.6465794875882652,0.6809204400507596
CAO,5,Threshold0.5,0.6072995602135639,0.6574334796259339
NACO,1,Threshold0.5,0.6400978999435193,0.6855463798481183
NACO,2,Threshold0.5,0.6386270058522161,0.6877147161103412
NACO,3,Threshold0.5,0.6282809004684394,0.6763431008937612
NACO,4,Threshold0.5,0.5847944061039846,0.6591728217742084
NACO,5,Threshold0.5,0.6247906844561685,0.6708421159129946
ANCO,1,Threshold0.5,0.6688599495500552,0.6978379023776695
ANCO,2,Threshold0.5,0.6569250895410121,0.6914735550597355
ANCO,3,Threshold0.5,0.6420038705691754,0.681534957763006
ANCO,4,Threshold0.5,0.6012576661219053,0.6667253145547936
ANCO,5,Threshold0.5,0.6311949335927418,0.6744502461458874
Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,Threshold0.6,0.7160257456938832,0.6740939193355545
CACO,2,Threshold0.6,0.6734734981411142,0.6458151226967561
CACO,3,Threshold0.6,0.7022598163841078,0.6632861182785372
CACO,4,Threshold0.6,0.6794790103546425,0.649395214098672
CACO,5,Threshold0.6,0.6828816679532665,0.6464857180709564
CAO,1,Threshold0.6,0.6914693105484687,0.6584445131395803
CAO,2,Threshold0.6,0.7037127457713244,0.6724767797589548
CAO,3,Threshold0.6,0.7080853487245952,0.6656093690819082
CAO,4,Threshold0.6,0.7222289591290885,0.6777973815937692
CAO,5,Threshold0.6,0.6915921224424506,0.6472605244336215
NACO,1,Threshold0.6,0.7110239127506398,0.6751897703129064
NACO,2,Threshold0.6,0.7100932162188716,0.6787039704620262
NACO,3,Threshold0.6,0.7039539053049939,0.6669458866918129
NACO,4,Threshold0.6,0.6652599430036659,0.6451585467380442
NACO,5,Threshold0.6,0.6959275906532484,0.6599761342817001
ANCO,1,Threshold0.6,0.7274809835648228,0.6883495619750459
ANCO,2,Threshold0.6,0.7214248239452888,0.6830109685570213
ANCO,3,Threshold0.6,0.7068403632404385,0.6690172553302401
ANCO,4,Threshold0.6,0.6788042188355359,0.6543847240710327
ANCO,5,Threshold0.6,0.7009892336848372,0.6639317123617832
Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,Threshold0.7,0.7939340384793933,0.7033650569340146
CACO,2,Threshold0.7,0.7670069347355595,0.6752839340536042
CACO,3,Threshold0.7,0.7872898579313156,0.6963920333269545
CACO,4,Threshold0.7,0.7782454577633899,0.6882110034186345
CACO,5,Threshold0.7,0.7791359384746367,0.6855302575203065
CAO,1,Threshold0.7,0.7815686798224863,0.6915875796390422
CAO,2,Threshold0.7,0.7823254439459474,0.6970871626782598
CAO,3,Threshold0.7,0.7903386134830107,0.6982416615437386
CAO,4,Threshold0.7,0.7953471681734063,0.7049674761243513
CAO,5,Threshold0.7,0.7841235121136012,0.6873044145503775
NACO,1,Threshold0.7,0.7885328762721369,0.7015427665774331
NACO,2,Threshold0.7,0.7862140218087078,0.7019754992021784
NACO,3,Threshold0.7,0.7859772535637799,0.6968189245285796
NACO,4,Threshold0.7,0.7583436958646327,0.6733368708991749
NACO,5,Threshold0.7,0.7767087874284594,0.6880296856449831
ANCO,1,Threshold0.7,0.7920596422658487,0.7071222602849353
ANCO,2,Threshold0.7,0.7910143542514144,0.7060941698157779
ANCO,3,Threshold0.7,0.7819483492653353,0.6937937683230839
ANCO,4,Threshold0.7,0.7639858981712313,0.6786754643171996
ANCO,5,Threshold0.7,0.7802471701283172,0.6916287032578085
Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,Threshold0.7999999999999999,0.8739941065021168,0.7837960791900703
CACO,2,Threshold0.7999999999999999,0.8661919019887925,0.7723644141438144
CACO,3,Threshold0.7999999999999999,0.8724360099583702,0.7818043875630026
CACO,4,Threshold0.7999999999999999,0.8660059208971009,0.7724756348400232
CACO,5,Threshold0.7999999999999999,0.8715982470513668,0.7803169275796717
CAO,1,Threshold0.7999999999999999,0.8699320499774887,0.778119150544923
CAO,2,Threshold0.7999999999999999,0.8682357556143964,0.7771015746373819
CAO,3,Threshold0.7999999999999999,0.8736094792243503,0.7832147407611468
CAO,4,Threshold0.7999999999999999,0.8720928675782893,0.7812363675787932
CAO,5,Threshold0.7999999999999999,0.8725034639036832,0.7808870504762045
NACO,1,Threshold0.7999999999999999,0.8718650333305781,0.7815828807982842
NACO,2,Threshold0.7999999999999999,0.8695485275534198,0.7786189427070884
NACO,3,Threshold0.7999999999999999,0.8711302574994702,0.7802010337449667
NACO,4,Threshold0.7999999999999999,0.8590762629220041,0.7637120982181557
NACO,5,Threshold0.7999999999999999,0.8667509839624198,0.7743607789093783
ANCO,1,Threshold0.7999999999999999,0.8706634628914608,0.7802926272594917
ANCO,2,Threshold0.7999999999999999,0.8700417048390534,0.7795505328662998
ANCO,3,Threshold0.7999999999999999,0.8676405789148398,0.7754722849006923
ANCO,4,Threshold0.7999999999999999,0.8612270696081641,0.766937732065137
ANCO,5,Threshold0.7999999999999999,0.8674353995757825,0.7752423664866808
Population,Selection,Threshold,F1 Score,Accuracy
CACO,1,Threshold0.8999999999999999,0.9451762275996535,0.8962130988539362
CACO,2,Threshold0.8999999999999999,0.94486587570048,0.895675220613027
CACO,3,Threshold0.8999999999999999,0.9446652965761576,0.8953642232461069
CACO,4,Threshold0.8999999999999999,0.9443444681957535,0.8947485372492364
CACO,5,Threshold0.8999999999999999,0.9453439150694899,0.8965857816490057
CAO,1,Threshold0.8999999999999999,0.944678983117168,0.8953464653198214
CAO,2,Threshold0.8999999999999999,0.9440538200829202,0.8942527172547928
CAO,3,Threshold0.8999999999999999,0.9452666231082045,0.8964369421879027
CAO,4,Threshold0.8999999999999999,0.944759997718039,0.8954735746869172
CAO,5,Threshold0.8999999999999999,0.9450753556426125,0.8961081868946972
NACO,1,Threshold0.8999999999999999,0.9449590179724244,0.8958516315912574
NACO,2,Threshold0.8999999999999999,0.9444053586065903,0.894867468623964
NACO,3,Threshold0.8999999999999999,0.9446531787086685,0.895333614188957
NACO,4,Threshold0.8999999999999999,0.9435512891634295,0.8933412215911148
NACO,5,Threshold0.8999999999999999,0.9441622909700134,0.8944564660932258
ANCO,1,Threshold0.8999999999999999,0.9448958093184513,0.8957308309611314
ANCO,2,Threshold0.8999999999999999,0.9444419394938729,0.8949134990381513
ANCO,3,Threshold0.8999999999999999,0.9441794421503947,0.8944767942456842
ANCO,4,Threshold0.8999999999999999,0.9434972097395159,0.8932395808288232
ANCO,5,Threshold0.8999999999999999,0.9439576846367593,0.8940774745611865



